time,velocity_smooth,heartrate
0,0,86
5,0,86
10,0,90
15,0,95
20,0,103
25,0,107
30,0,108
35,0,110
40,0,113
45,0,118
50,0,121
55,0,123
60,0,125
65,0,126
70,0,127
75,0,130
80,0,130
85,0,132
90,0,134
95,0,135
100,0,136
105,0,136
110,0,133
115,0,132
120,0,130
125,0,129
130,0,128
135,0,124
140,0,120
145,0,112
150,0,107
155,0,107
160,0,106
165,0,104
170,0,102
175,0,100
180,0,100
185,0,101
190,0,103
195,0,105
200,0,104
205,0,102
210,0,103
215,0,101
220,0,102
225,0,102
230,0,104
235,0,105
240,0,103
245,0,104
250,0,108
255,0,107
260,0,108
265,0,109
270,0,110
275,0,110
280,0,111
285,0,113
290,0,116
295,0,119
300,0,121
305,0,124
310,0,126
315,0,129
320,0,131
325,0,134
330,0,137
335,0,140
340,0,142
345,0,143
350,0,143
355,0,143
360,0,145
365,0,147
370,0,147
375,0,147
380,0,149
385,0,151
390,0,150
395,0,150
400,0,147
405,0,145
410,0,146
415,0,146
420,0,143
425,0,141
430,0,138
435,0,137
440,0,132
445,0,128
450,0,127
455,0,126
460,0,120
465,0,116
470,0,116
475,0,115
480,0,118
485,0,123
490,0,121
495,0,118
500,0,112
505,0,110
510,0,110
515,0,109
520,0,108
525,0,108
530,0,110
535,0,111
540,0,110
545,0,110
550,0,110
555,0,114
560,0,112
565,0,112
570,0,111
575,0,112
580,0,115
585,0,118
590,0,123
595,0,127
600,0,128
605,0,132
610,0,136
615,0,139
620,0,142
625,0,146
630,0,147
635,0,148
640,0,150
645,0,153
650,0,154
655,0,155
660,0,157
665,0,158
670,0,160
675,0,160
680,0,160
685,0,159
690,0,160
695,0,158
700,0,159
705,0,159
710,0,156
715,0,154
720,0,152
725,0,148
730,0,144
735,0,142
740,0,139
745,0,137
750,0,133
755,0,130
760,0,128
765,0,126
770,0,124
775,0,123
780,0,118
785,0,117
790,0,117
795,0,116
800,0,116
805,0,115
810,0,115
815,0,116
820,0,116
825,0,117
830,0,116
835,0,116
840,0,117
845,0,117
850,0,115
855,0,116
860,0,117
865,0,117
870,0,116
875,0,117
880,0,117
885,0,122
890,0,125
895,0,128
900,0,132
905,0,134
910,0,136
915,0,138
920,0,140
925,0,144
930,0,146
935,0,148
940,0,150
945,0,152
950,0,152
955,0,155
960,0,156
965,0,157
970,0,157
975,0,158
980,0,158
985,0,158
990,0,158
995,0,159
1000,0,161
1005,0,161
1010,0,160
1015,0,157
1020,0,154
1025,0,152
1030,0,149
1035,0,148
1040,0,146
1045,0,143
1050,0,140
1055,0,137
1060,0,135
1065,0,131
1070,0,128
1075,0,127
1080,0,127
1085,0,129
1090,0,128
1095,0,128
1100,0,128
1105,0,126
1110,0,127
1115,0,125
1120,0,123
1125,0,119
1130,0,122
1135,0,118
1140,0,115
1145,0,113
1150,0,115
1155,0,115
1160,0,117
1165,0,118
1170,0,117
1175,0,119
1180,0,121
1185,0,124
1190,0,128
1195,0,131
1200,0,133
1205,0,135
1210,0,137
1215,0,139
1220,0,142
1225,0,146
1230,0,148
1235,0,149
1240,0,152
1245,0,154
1250,0,156
1255,0,157
1260,0,158
1265,0,158
1270,0,158
1275,0,159
1280,0,159
1285,0,161
1290,0,161
1295,0,162
1300,0,162
1305,0,161
1310,0,161
1315,0,159
1320,0,157
1325,0,154
1330,0,151
1335,0,148
1340,0,145
1345,0,142
1350,0,138
1355,0,137
1360,0,135
1365,0,134
1370,0,133
1375,0,129
1380,0,126
1385,0,124
1390,0,123
1395,0,122
1400,0,121
1405,0,119
1410,0,118
1415,0,120
1420,0,121
1425,0,123
1430,0,122
1435,0,122
1440,0,121
1445,0,121
1450,0,121
1455,0,121
1460,0,121
1465,0,123
1470,0,123
1475,0,123
1480,0,124
1485,0,123
1490,0,124
1495,0,123
1500,0,123
